name,categories,fragrance_notes,description,sizes,price_min,price_max,currency,in_stock,product_url,image_url,is_popular
Santal Royal guerla (Perfume),Clone Perfumes,,,"10 ml, 25 ml, 50 ml, 100ml",200,1500,INR,true,https://alharamainperfumes.in/product/santal-royal-guerla-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
Santal Royal guerla (Attar),"Arabic Attar, Clone Attar",,,"3 ml, 6 ml, 12 ml",150,600,INR,true,https://alharamainperfumes.in/product/santal-royal-guerla-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Ambre Samar Guerla,"Clone Perfumes, Premium Perfumes",,,"10 ml, 25 ml, 50 ml, 100ml",300,2500,INR,true,https://alharamainperfumes.in/product/ambre-samar-guerla/,https://alharamainperfumes.in/wp-content/uploads/2026/07/Cowboy-100ml-Bottle.png,false
Ambre Samar Guerla Attar,"Arabic Attar, Clone Attar, Premium Attars",,,"3 ml, 6 ml, 12 ml",250,1000,INR,true,https://alharamainperfumes.in/product/ambre-samar-guerla-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Amir one ajm (Attar),,,,"3ML, 6ML, 12ML",700,2500,INR,true,https://alharamainperfumes.in/product/amir-one-ajm-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Amir one ajm (Perfume),"Arabic Attar, Arabic Attars",,,"10ML, 25ML, 50ML, 100ML",800,7500,INR,true,https://alharamainperfumes.in/product/amir-one-ajm-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/07/Charminar-theam-Glass-Bottle-1.png,true
V.Uomo Born in R Ivory (Perfume),French Perfumes,"Top: Bergamot | Middle: Lavender, Fire Accord | Base: Woody Notes, Smoke The fragrance opens with the fresh, sparkling brightness of bergamot, creating a crisp and invigorating first impression","V. Uomo Born in R Ivory by Al Haramain Perfumes is a Woody fragrance for men. Fragrance Notes: Top Note: Bergamot Middle Notes: Lavender, Fire Accord Base Notes: Woody Notes, Smoke The fragrance opens with the fresh, sparkling brightness of bergamot, creating a crisp and invigorating first impression. At its heart, radiant lavender blends with a unique fiery accord, adding warmth, depth, and a distinctive smoky character. The fragrance settles into a rich base of woody notes and smoke, leaving a bold, refined, and long-lasting trail that is both masculine and unforgettable. V. Uomo Born in R Ivory Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",150,1200,INR,true,https://alharamainperfumes.in/product/v-uomo-born-in-r-ivory-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,true
V.Uomo Born in R Ivory (Attar),French,"Top: Bergamot | Middle: Lavender, Fire Accord | Base: Woody Notes, Smoke The fragrance opens with the fresh, sparkling brightness of bergamot, creating a crisp and invigorating first impression","V. Uomo Born in R Ivory by Al Haramain Perfumes is a Woody fragrance for men. Fragrance Notes: Top Note: Bergamot Middle Notes: Lavender, Fire Accord Base Notes: Woody Notes, Smoke The fragrance opens with the fresh, sparkling brightness of bergamot, creating a crisp and invigorating first impression. At its heart, radiant lavender blends with a unique fiery accord, adding warmth, depth, and a distinctive smoky character. The fragrance settles into a rich base of woody notes and smoke, leaving a bold, refined, and long-lasting trail that is both masculine and unforgettable. V. Uomo Born in R Ivory Perfume Created by Al Haramain Perfumes Hyderabad.","3ML, 6ML, 12ML",150,600,INR,true,https://alharamainperfumes.in/product/v-uomo-born-in-r-ivory-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
V. Uomo Born in R (Perfume),French,"Top: Mineral Notes, Violet Leaf, Salt | Middle: Sage, Ginger | Base: Woody Notes, Vetiver V","V. Uomo Born in R by Al Haramain Perfumes is a Woody Spicy fragrance for men. Fragrance Notes: Top Notes: Mineral Notes, Violet Leaf, Salt Middle Notes: Sage, Ginger Base Notes: Woody Notes, Vetiver V. Uomo Born in R by Al Haramain Perfumes is a bold woody spicy fragrance crafted for the modern man who embraces confidence and individuality. Fresh mineral notes, violet leaf, and a touch of sea salt create a crisp, invigorating opening. At its heart, aromatic sage blends seamlessly with spicy ginger, adding warmth and character. The fragrance settles into a masculine base of rich woody notes and earthy vetiver, leaving a refined, long-lasting impression that is both elegant and effortlessly modern. V. Uomo Born in R Perfume Created by Al Haramain Perfumes Hyderabad.","10ml, 25ml, 50ml, 100ml",200,1500,INR,true,https://alharamainperfumes.in/product/v-uomo-born-in-r-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
V. Uomo Born in R (Attar),"French, French Attar","Top: Mineral Notes, Violet Leaf, Salt | Middle: Sage, Ginger | Base: Woody Notes, Vetiver V","V. Uomo Born in R by Al Haramain Perfumes is a Woody Spicy fragrance for men. Fragrance Notes: Top Notes: Mineral Notes, Violet Leaf, Salt Middle Notes: Sage, Ginger Base Notes: Woody Notes, Vetiver V. Uomo Born in R by Al Haramain Perfumes is a bold woody spicy fragrance crafted for the modern man who embraces confidence and individuality. Fresh mineral notes, violet leaf, and a touch of sea salt create a crisp, invigorating opening. At its heart, aromatic sage blends seamlessly with spicy ginger, adding warmth and character. The fragrance settles into a masculine base of rich woody notes and earthy vetiver, leaving a refined, long-lasting impression that is both elegant and effortlessly modern. V. Uomo Born in R Perfume Created by Al Haramain Perfumes Hyderabad.","3ML, 6ml, 12ml",150,600,INR,true,https://alharamainperfumes.in/product/v-uomo-born-in-r-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Smoking Hot kil (Perfume ),,"Top: Apple, Smoke and Cinnamon | Middle: Tobacco, Vanilla and Moss | Base: Bourbon Vanilla, Licorice, Orcanox™, Iso E Super and Clary Sage","Smoking Hot kil Perfume by Al Haramain Perfumes is a Oriental Spicy fragrance for women and men. Top notes : Apple, Smoke and Cinnamon Middle notes : Tobacco, Vanilla and Moss Base notes : Bourbon Vanilla, Licorice, Orcanox™, Iso E Super and Clary Sage. This fragrance is a rich and addictive blend of sweet caramel, smoky tobacco, and warm vanilla. It opens with crisp apple and spicy cinnamon, leading into a luxurious heart of Kentucky tobacco absolute and apple shisha. The base is deep and long-lasting, featuring Bourbon vanilla, oakmoss, balsamic accords, and woody notes that create a bold, smooth, and irresistibly smoky finish. Perfect for those who enjoy warm, sweet, and sophisticated fragrances with a modern edge. Smoking Hot kil Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",100,800,INR,true,https://alharamainperfumes.in/product/smoking-hot-kil-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
Smoking Hot kil (Attar),,"Top: Apple, Smoke and Cinnamon | Middle: Tobacco, Vanilla and Moss | Base: Bourbon Vanilla, Licorice, Orcanox™, Iso E Super and Clary Sage","Smoking Hot kil Perfume by Al Haramain Perfumes is a Oriental Spicy fragrance for women and men. Top notes : Apple, Smoke and Cinnamon Middle notes : Tobacco, Vanilla and Moss Base notes : Bourbon Vanilla, Licorice, Orcanox™, Iso E Super and Clary Sage. This fragrance is a rich and addictive blend of sweet caramel, smoky tobacco, and warm vanilla. It opens with crisp apple and spicy cinnamon, leading into a luxurious heart of Kentucky tobacco absolute and apple shisha. The base is deep and long-lasting, featuring Bourbon vanilla, oakmoss, balsamic accords, and woody notes that create a bold, smooth, and irresistibly smoky finish. Perfect for those who enjoy warm, sweet, and sophisticated fragrances with a modern edge. Smoking Hot kil Perfume Created by Al Haramain Perfumes Hyderabad.","3ml, 6ml, 12ml",100,400,INR,true,https://alharamainperfumes.in/product/smoking-hot-kil-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
WC Room 1015 (Perfume),French,"Top: Mandarin Orange, Orange and Lemon | Middle: Watermelon and Coconut | Base: Ambergris, Amberwood and Cacao","WC Room 1015 Perfume by Al Haramain Perfumes is a fragrance for women and men. Top notes: Mandarin Orange, Orange and Lemon Middle notes : Watermelon and Coconut Base notes : Ambergris, Amberwood and Cacao. WC Room 1015 Perfume by Al Haramain Perfumes is a refreshing and energetic fragrance inspired by the spirit of surf culture. It opens with vibrant notes of orange, mandarin, and lemon, followed by a tropical heart of juicy watermelon and creamy coconut. The scent settles into a warm base of oriental woods, cocoa, and orientalgris, creating a unique blend of freshness and depth. Perfect for those who enjoy bold, youthful, and adventurous fragrances. WC Room 1015 Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",100,800,INR,true,https://alharamainperfumes.in/product/room-1015-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
WC Room 1015 Attar,French,"Top: Mandarin Orange, Orange and Lemon | Middle: Watermelon and Coconut | Base: Ambergris, Amberwood and Cacao","WC Room 1015 Perfume by Al Haramain Perfumes is a fragrance for women and men. Top notes: Mandarin Orange, Orange and Lemon Middle notes : Watermelon and Coconut Base notes : Ambergris, Amberwood and Cacao. WC Room 1015 Perfume by Al Haramain Perfumes is a refreshing and energetic fragrance inspired by the spirit of surf culture. It opens with vibrant notes of orange, mandarin, and lemon, followed by a tropical heart of juicy watermelon and creamy coconut. The scent settles into a warm base of oriental woods, cocoa, and orientalgris, creating a unique blend of freshness and depth. Perfect for those who enjoy bold, youthful, and adventurous fragrances. WC Room 1015 Attar Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",100,400,INR,true,https://alharamainperfumes.in/product/room-1015-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
